callset_id	callset_legacy_id	series_accession__id	_progenetix_experiment_id	_legacy_id
pgxcs-kftwdzew	pgxcs::E-TABM-579::A172_Nsp	arrayexpress:E-TABM-579	AE-TABM_579-A172-Nsp	A172
pgxcs-kftwdzfe	pgxcs::E-TABM-579::A172_Sty	arrayexpress:E-TABM-579	AE-TABM_579-A172-Sty	A172
pgxcs-kftwdzfw	pgxcs::E-TABM-579::KNS42_Nsp	arrayexpress:E-TABM-579	AE-TABM_579-KNS42-Nsp	KNS42
pgxcs-kftwdzge	pgxcs::E-TABM-579::KNS42_Sty	arrayexpress:E-TABM-579	AE-TABM_579-KNS42-Sty	KNS42
pgxcs-kftwdzgv	pgxcs::E-TABM-579::LN229_Nsp	arrayexpress:E-TABM-579	AE-TABM_579-LN229-Nsp	LN229
pgxcs-kftwdzhd	pgxcs::E-TABM-579::LN229_Sty	arrayexpress:E-TABM-579	AE-TABM_579-LN229-Sty	LN229
pgxcs-kftwdzhu	pgxcs::E-TABM-579::Res186_Nsp	arrayexpress:E-TABM-579	AE-TABM_579-Res186-Nsp	Res186
pgxcs-kftwdzic	pgxcs::E-TABM-579::Res186_Sty	arrayexpress:E-TABM-579	AE-TABM_579-Res186-Sty	Res186
pgxcs-kftwdzit	pgxcs::E-TABM-579::Res259_Nsp	arrayexpress:E-TABM-579	AE-TABM_579-Res259-Nsp	Res259
pgxcs-kftwdzjb	pgxcs::E-TABM-579::Res259_Sty	arrayexpress:E-TABM-579	AE-TABM_579-Res259-Sty	Res259
pgxcs-kftwdzjs	pgxcs::E-TABM-579::SF188_Nsp	arrayexpress:E-TABM-579	AE-TABM_579-SF188-Nsp	SF188
pgxcs-kftwdzka	pgxcs::E-TABM-579::SF188_Sty	arrayexpress:E-TABM-579	AE-TABM_579-SF188-Sty	SF188
pgxcs-kftwdzks	pgxcs::E-TABM-579::SF268_Nsp	arrayexpress:E-TABM-579	AE-TABM_579-SF268-Nsp	SF268
pgxcs-kftwdzl9	pgxcs::E-TABM-579::SF268_Sty	arrayexpress:E-TABM-579	AE-TABM_579-SF268-Sty	SF268
pgxcs-kftwdzlr	pgxcs::E-TABM-579::U118MG_Nsp	arrayexpress:E-TABM-579	AE-TABM_579-U118MG-Nsp	U118MG
pgxcs-kftwdzm8	pgxcs::E-TABM-579::U118MG_Sty	arrayexpress:E-TABM-579	AE-TABM_579-U118MG-Sty	U118MG
pgxcs-kftwdzmq	pgxcs::E-TABM-579::U87MG_Nsp	arrayexpress:E-TABM-579	AE-TABM_579-U87MG-Nsp	U87MG
pgxcs-kftwdzn7	pgxcs::E-TABM-579::U87MG_Sty	arrayexpress:E-TABM-579	AE-TABM_579-U87MG-Sty	U87MG
pgxcs-kftwdzpt	pgxcs::E-TABM-579::UW479_Nsp	arrayexpress:E-TABM-579	AE-TABM_579-UW479-Nsp	UW479
pgxcs-kftwdzqc	pgxcs::E-TABM-579::UW479_Sty	arrayexpress:E-TABM-579	AE-TABM_579-UW479-Sty	UW479
pgxcs-kftwxbap	pgxcs::E-MEXP-1008::AE-MEXP_1008-SAMPLE_1-Hind	arrayexpress:E-MEXP-1008	AE-MEXP_1008-SAMPLE_1-Hind	SAMPLE_1
pgxcs-kftwxbbo	pgxcs::E-MEXP-1008::AE-MEXP_1008-SAMPLE_10-Hind	arrayexpress:E-MEXP-1008	AE-MEXP_1008-SAMPLE_10-Hind	SAMPLE_10
pgxcs-kftwxbcn	pgxcs::E-MEXP-1008::AE-MEXP_1008-SAMPLE_11-Hind	arrayexpress:E-MEXP-1008	AE-MEXP_1008-SAMPLE_11-Hind	SAMPLE_11
pgxcs-kftwxbdm	pgxcs::E-MEXP-1008::AE-MEXP_1008-SAMPLE_14-Hind	arrayexpress:E-MEXP-1008	AE-MEXP_1008-SAMPLE_14-Hind	SAMPLE_14
pgxcs-kftwxbel	pgxcs::E-MEXP-1008::AE-MEXP_1008-SAMPLE_15-Hind	arrayexpress:E-MEXP-1008	AE-MEXP_1008-SAMPLE_15-Hind	SAMPLE_15
pgxcs-kftwxbfk	pgxcs::E-MEXP-1008::AE-MEXP_1008-SAMPLE_16-Hind	arrayexpress:E-MEXP-1008	AE-MEXP_1008-SAMPLE_16-Hind	SAMPLE_16
pgxcs-kftwxbiq	pgxcs::E-MEXP-1008::AE-MEXP_1008-SAMPLE_17-Hind	arrayexpress:E-MEXP-1008	AE-MEXP_1008-SAMPLE_17-Hind	SAMPLE_17
pgxcs-kftwxbjq	pgxcs::E-MEXP-1008::AE-MEXP_1008-SAMPLE_18-Hind	arrayexpress:E-MEXP-1008	AE-MEXP_1008-SAMPLE_18-Hind	SAMPLE_18
pgxcs-kftwxbkp	pgxcs::E-MEXP-1008::AE-MEXP_1008-SAMPLE_19-Hind	arrayexpress:E-MEXP-1008	AE-MEXP_1008-SAMPLE_19-Hind	SAMPLE_19
pgxcs-kftwxblo	pgxcs::E-MEXP-1008::AE-MEXP_1008-SAMPLE_2-Hind	arrayexpress:E-MEXP-1008	AE-MEXP_1008-SAMPLE_2-Hind	SAMPLE_2
pgxcs-kftwxbmm	pgxcs::E-MEXP-1008::AE-MEXP_1008-SAMPLE_20-Hind	arrayexpress:E-MEXP-1008	AE-MEXP_1008-SAMPLE_20-Hind	SAMPLE_20
pgxcs-kftwxbnm	pgxcs::E-MEXP-1008::AE-MEXP_1008-SAMPLE_21-Hind	arrayexpress:E-MEXP-1008	AE-MEXP_1008-SAMPLE_21-Hind	SAMPLE_21
pgxcs-kftwxbol	pgxcs::E-MEXP-1008::AE-MEXP_1008-SAMPLE_22-Hind	arrayexpress:E-MEXP-1008	AE-MEXP_1008-SAMPLE_22-Hind	SAMPLE_22
pgxcs-kftwxbpk	pgxcs::E-MEXP-1008::AE-MEXP_1008-SAMPLE_23-Hind	arrayexpress:E-MEXP-1008	AE-MEXP_1008-SAMPLE_23-Hind	SAMPLE_23
pgxcs-kftwxbqj	pgxcs::E-MEXP-1008::AE-MEXP_1008-SAMPLE_3-Hind	arrayexpress:E-MEXP-1008	AE-MEXP_1008-SAMPLE_3-Hind	SAMPLE_3
pgxcs-kftwxbri	pgxcs::E-MEXP-1008::AE-MEXP_1008-SAMPLE_4-Hind	arrayexpress:E-MEXP-1008	AE-MEXP_1008-SAMPLE_4-Hind	SAMPLE_4
pgxcs-kftwxbsh	pgxcs::E-MEXP-1008::AE-MEXP_1008-SAMPLE_5-Hind	arrayexpress:E-MEXP-1008	AE-MEXP_1008-SAMPLE_5-Hind	SAMPLE_5
pgxcs-kftwxbtg	pgxcs::E-MEXP-1008::AE-MEXP_1008-SAMPLE_6-Hind	arrayexpress:E-MEXP-1008	AE-MEXP_1008-SAMPLE_6-Hind	SAMPLE_6
pgxcs-kftwxbuf	pgxcs::E-MEXP-1008::AE-MEXP_1008-SAMPLE_8-Hind	arrayexpress:E-MEXP-1008	AE-MEXP_1008-SAMPLE_8-Hind	SAMPLE_8
pgxcs-kftwxbve	pgxcs::E-MEXP-2333::AE-MEXP_2333-10D-Nsp	arrayexpress:E-MEXP-2333	AE-MEXP_2333-10D-Nsp	10D
pgxcs-kftwxbwc	pgxcs::E-MEXP-2333::AE-MEXP_2333-10D-Sty	arrayexpress:E-MEXP-2333	AE-MEXP_2333-10D-Sty	10D
pgxcs-kftwxbxa	pgxcs::E-MEXP-2333::AE-MEXP_2333-10R-Nsp	arrayexpress:E-MEXP-2333	AE-MEXP_2333-10R-Nsp	10R
pgxcs-kftwxby9	pgxcs::E-MEXP-2333::AE-MEXP_2333-10R-Sty	arrayexpress:E-MEXP-2333	AE-MEXP_2333-10R-Sty	10R
pgxcs-kftwxbz9	pgxcs::E-MEXP-2333::AE-MEXP_2333-11D-Nsp	arrayexpress:E-MEXP-2333	AE-MEXP_2333-11D-Nsp	11D
pgxcs-kftwxc07	pgxcs::E-MEXP-2333::AE-MEXP_2333-11D-Sty	arrayexpress:E-MEXP-2333	AE-MEXP_2333-11D-Sty	11D
pgxcs-kftwxc15	pgxcs::E-MEXP-2333::AE-MEXP_2333-11R-Nsp	arrayexpress:E-MEXP-2333	AE-MEXP_2333-11R-Nsp	11R
pgxcs-kftwxc23	pgxcs::E-MEXP-2333::AE-MEXP_2333-11R-Sty	arrayexpress:E-MEXP-2333	AE-MEXP_2333-11R-Sty	11R
pgxcs-kftwxc32	pgxcs::E-MEXP-2333::AE-MEXP_2333-1D-Nsp	arrayexpress:E-MEXP-2333	AE-MEXP_2333-1D-Nsp	1D
pgxcs-kftwxc41	pgxcs::E-MEXP-2333::AE-MEXP_2333-1D-Sty	arrayexpress:E-MEXP-2333	AE-MEXP_2333-1D-Sty	1D
pgxcs-kftwxc4z	pgxcs::E-MEXP-2333::AE-MEXP_2333-1R-Nsp	arrayexpress:E-MEXP-2333	AE-MEXP_2333-1R-Nsp	1R
pgxcs-kftwxc6f	pgxcs::E-MEXP-2333::AE-MEXP_2333-1R-Sty	arrayexpress:E-MEXP-2333	AE-MEXP_2333-1R-Sty	1R
pgxcs-kftwxc7e	pgxcs::E-MEXP-2333::AE-MEXP_2333-2D-Nsp	arrayexpress:E-MEXP-2333	AE-MEXP_2333-2D-Nsp	2D
pgxcs-kftwxc8e	pgxcs::E-MEXP-2333::AE-MEXP_2333-2D-Sty	arrayexpress:E-MEXP-2333	AE-MEXP_2333-2D-Sty	2D
pgxcs-kftwxc9c	pgxcs::E-MEXP-2333::AE-MEXP_2333-2R-Nsp	arrayexpress:E-MEXP-2333	AE-MEXP_2333-2R-Nsp	2R
pgxcs-kftwxcab	pgxcs::E-MEXP-2333::AE-MEXP_2333-2R-Sty	arrayexpress:E-MEXP-2333	AE-MEXP_2333-2R-Sty	2R
pgxcs-kftwxcba	pgxcs::E-MEXP-2333::AE-MEXP_2333-3D-Nsp	arrayexpress:E-MEXP-2333	AE-MEXP_2333-3D-Nsp	3D
pgxcs-kftwxcc9	pgxcs::E-MEXP-2333::AE-MEXP_2333-3D-Sty	arrayexpress:E-MEXP-2333	AE-MEXP_2333-3D-Sty	3D
pgxcs-kftwxcd7	pgxcs::E-MEXP-2333::AE-MEXP_2333-3R-Nsp	arrayexpress:E-MEXP-2333	AE-MEXP_2333-3R-Nsp	3R
pgxcs-kftwxce6	pgxcs::E-MEXP-2333::AE-MEXP_2333-3R-Sty	arrayexpress:E-MEXP-2333	AE-MEXP_2333-3R-Sty	3R
pgxcs-kftwxcf4	pgxcs::E-MEXP-2333::AE-MEXP_2333-4D-Nsp	arrayexpress:E-MEXP-2333	AE-MEXP_2333-4D-Nsp	4D
pgxcs-kftwxcg3	pgxcs::E-MEXP-2333::AE-MEXP_2333-4D-Sty	arrayexpress:E-MEXP-2333	AE-MEXP_2333-4D-Sty	4D
pgxcs-kftwxch2	pgxcs::E-MEXP-2333::AE-MEXP_2333-4R-Nsp	arrayexpress:E-MEXP-2333	AE-MEXP_2333-4R-Nsp	4R
pgxcs-kftwxci1	pgxcs::E-MEXP-2333::AE-MEXP_2333-4R-Sty	arrayexpress:E-MEXP-2333	AE-MEXP_2333-4R-Sty	4R
pgxcs-kftwxciz	pgxcs::E-MEXP-2333::AE-MEXP_2333-5D-Nsp	arrayexpress:E-MEXP-2333	AE-MEXP_2333-5D-Nsp	5D
pgxcs-kftwxcjy	pgxcs::E-MEXP-2333::AE-MEXP_2333-5D-Sty	arrayexpress:E-MEXP-2333	AE-MEXP_2333-5D-Sty	5D
pgxcs-kftwxckx	pgxcs::E-MEXP-2333::AE-MEXP_2333-5R-Nsp	arrayexpress:E-MEXP-2333	AE-MEXP_2333-5R-Nsp	5R
pgxcs-kftwxclw	pgxcs::E-MEXP-2333::AE-MEXP_2333-5R-Sty	arrayexpress:E-MEXP-2333	AE-MEXP_2333-5R-Sty	5R
pgxcs-kftwxcmv	pgxcs::E-MEXP-2333::AE-MEXP_2333-6D-Nsp	arrayexpress:E-MEXP-2333	AE-MEXP_2333-6D-Nsp	6D
pgxcs-kftwxcnt	pgxcs::E-MEXP-2333::AE-MEXP_2333-6D-Sty	arrayexpress:E-MEXP-2333	AE-MEXP_2333-6D-Sty	6D
pgxcs-kftwxcqv	pgxcs::E-MEXP-2333::AE-MEXP_2333-6R-Nsp	arrayexpress:E-MEXP-2333	AE-MEXP_2333-6R-Nsp	6R
pgxcs-kftwxcrv	pgxcs::E-MEXP-2333::AE-MEXP_2333-6R-Sty	arrayexpress:E-MEXP-2333	AE-MEXP_2333-6R-Sty	6R
pgxcs-kftwxcsu	pgxcs::E-MEXP-2333::AE-MEXP_2333-7D-Nsp	arrayexpress:E-MEXP-2333	AE-MEXP_2333-7D-Nsp	7D
pgxcs-kftwxcts	pgxcs::E-MEXP-2333::AE-MEXP_2333-7D-Sty	arrayexpress:E-MEXP-2333	AE-MEXP_2333-7D-Sty	7D
pgxcs-kftwxcur	pgxcs::E-MEXP-2333::AE-MEXP_2333-7R-Nsp	arrayexpress:E-MEXP-2333	AE-MEXP_2333-7R-Nsp	7R
pgxcs-kftwxcvq	pgxcs::E-MEXP-2333::AE-MEXP_2333-7R-Sty	arrayexpress:E-MEXP-2333	AE-MEXP_2333-7R-Sty	7R
pgxcs-kftwxcwq	pgxcs::E-MEXP-2333::AE-MEXP_2333-8D-Nsp	arrayexpress:E-MEXP-2333	AE-MEXP_2333-8D-Nsp	8D
pgxcs-kftwxcxp	pgxcs::E-MEXP-2333::AE-MEXP_2333-8D-Sty	arrayexpress:E-MEXP-2333	AE-MEXP_2333-8D-Sty	8D
pgxcs-kftwxcyo	pgxcs::E-MEXP-2333::AE-MEXP_2333-8R-Nsp	arrayexpress:E-MEXP-2333	AE-MEXP_2333-8R-Nsp	8R
pgxcs-kftwxczn	pgxcs::E-MEXP-2333::AE-MEXP_2333-8R-Sty	arrayexpress:E-MEXP-2333	AE-MEXP_2333-8R-Sty	8R
pgxcs-kftwxd0l	pgxcs::E-MEXP-2333::AE-MEXP_2333-9D-Nsp	arrayexpress:E-MEXP-2333	AE-MEXP_2333-9D-Nsp	9D
pgxcs-kftwxd1k	pgxcs::E-MEXP-2333::AE-MEXP_2333-9D-Sty	arrayexpress:E-MEXP-2333	AE-MEXP_2333-9D-Sty	9D
pgxcs-kftwxd2i	pgxcs::E-MEXP-2333::AE-MEXP_2333-9R-Nsp	arrayexpress:E-MEXP-2333	AE-MEXP_2333-9R-Nsp	9R
pgxcs-kftwxd3h	pgxcs::E-MEXP-2333::AE-MEXP_2333-9R-Sty	arrayexpress:E-MEXP-2333	AE-MEXP_2333-9R-Sty	9R
pgxcs-kftwxd4f	pgxcs::E-MEXP-2423::AE-MEXP_2423-case_26-Sty	arrayexpress:E-MEXP-2423	AE-MEXP_2423-case_26-Sty	case_26
pgxcs-kftwxd4w	pgxcs::E-MEXP-2450::AE-MEXP_2450-10sT-Xba	arrayexpress:E-MEXP-2450	AE-MEXP_2450-10sT-Xba	10sT
pgxcs-kftwxd5u	pgxcs::E-MEXP-2450::AE-MEXP_2450-22sT-Xba	arrayexpress:E-MEXP-2450	AE-MEXP_2450-22sT-Xba	22sT
pgxcs-kftwxd7a	pgxcs::E-MEXP-2450::AE-MEXP_2450-24T-Xba	arrayexpress:E-MEXP-2450	AE-MEXP_2450-24T-Xba	24T
pgxcs-kftwxd89	pgxcs::E-MEXP-2450::AE-MEXP_2450-33sT-Hind	arrayexpress:E-MEXP-2450	AE-MEXP_2450-33sT-Hind	33sT
pgxcs-kftwxd97	pgxcs::E-MEXP-2450::AE-MEXP_2450-3sT-Nsp	arrayexpress:E-MEXP-2450	AE-MEXP_2450-3sT-Nsp	3sT
pgxcs-kftwxda6	pgxcs::E-MEXP-2450::AE-MEXP_2450-48sT-Hind	arrayexpress:E-MEXP-2450	AE-MEXP_2450-48sT-Hind	48sT
pgxcs-kftwxdb4	pgxcs::E-MEXP-2450::AE-MEXP_2450-61sT-Hind	arrayexpress:E-MEXP-2450	AE-MEXP_2450-61sT-Hind	61sT
pgxcs-kftwxdc3	pgxcs::E-MEXP-2450::AE-MEXP_2450-73sT-Hind	arrayexpress:E-MEXP-2450	AE-MEXP_2450-73sT-Hind	73sT
pgxcs-kftwxdd2	pgxcs::E-MEXP-2450::AE-MEXP_2450-87sT-Hind	arrayexpress:E-MEXP-2450	AE-MEXP_2450-87sT-Hind	87sT
pgxcs-kftwxde1	pgxcs::E-MEXP-2450::AE-MEXP_2450-92sT-Hind	arrayexpress:E-MEXP-2450	AE-MEXP_2450-92sT-Hind	92sT
pgxcs-kftwxdez	pgxcs::E-MEXP-2450::AE-MEXP_2450-10sN-Xba	arrayexpress:E-MEXP-2450	AE-MEXP_2450-10sN-Xba	10sN
pgxcs-kftwxdfy	pgxcs::E-MEXP-2450::AE-MEXP_2450-22sN-Xba	arrayexpress:E-MEXP-2450	AE-MEXP_2450-22sN-Xba	22sN
pgxcs-kftwxdgw	pgxcs::E-MEXP-2450::AE-MEXP_2450-24N-Xba	arrayexpress:E-MEXP-2450	AE-MEXP_2450-24N-Xba	24N
pgxcs-kftwxdhu	pgxcs::E-MEXP-2450::AE-MEXP_2450-33sN-Hind	arrayexpress:E-MEXP-2450	AE-MEXP_2450-33sN-Hind	33sN
pgxcs-kftwxdis	pgxcs::E-MEXP-2450::AE-MEXP_2450-3sN-Nsp	arrayexpress:E-MEXP-2450	AE-MEXP_2450-3sN-Nsp	3sN
pgxcs-kftwxdjr	pgxcs::E-MEXP-2450::AE-MEXP_2450-48sN-Hind	arrayexpress:E-MEXP-2450	AE-MEXP_2450-48sN-Hind	48sN
pgxcs-kftwxdkp	pgxcs::E-MEXP-2450::AE-MEXP_2450-61sN-Hind	arrayexpress:E-MEXP-2450	AE-MEXP_2450-61sN-Hind	61sN
pgxcs-kftwxdln	pgxcs::E-MEXP-2450::AE-MEXP_2450-73sN-Hind	arrayexpress:E-MEXP-2450	AE-MEXP_2450-73sN-Hind	73sN
pgxcs-kftwxdmm	pgxcs::E-MEXP-2450::AE-MEXP_2450-87sN-Hind	arrayexpress:E-MEXP-2450	AE-MEXP_2450-87sN-Hind	87sN
pgxcs-kftwxdnk	pgxcs::E-MEXP-2450::AE-MEXP_2450-92sN-Hind	arrayexpress:E-MEXP-2450	AE-MEXP_2450-92sN-Hind	92sN
pgxcs-kftwxdoi	pgxcs::E-MEXP-2463::AE-MEXP_2463-STY1_170707_14443-Sty	arrayexpress:E-MEXP-2463	AE-MEXP_2463-STY1_170707_14443-Sty	STY1_170707_14443
pgxcs-kftwxdph	pgxcs::E-MEXP-2463::AE-MEXP_2463-STY1_170707_15258-Sty	arrayexpress:E-MEXP-2463	AE-MEXP_2463-STY1_170707_15258-Sty	STY1_170707_15258
pgxcs-kftwxdqf	pgxcs::E-MEXP-2463::AE-MEXP_2463-STY1_170707_15266-Sty	arrayexpress:E-MEXP-2463	AE-MEXP_2463-STY1_170707_15266-Sty	STY1_170707_15266
pgxcs-kftwxdrf	pgxcs::E-MEXP-2463::AE-MEXP_2463-STY1_170707_15292-Sty	arrayexpress:E-MEXP-2463	AE-MEXP_2463-STY1_170707_15292-Sty	STY1_170707_15292
pgxcs-kftwxdse	pgxcs::E-MEXP-2463::AE-MEXP_2463-STY1_170707_9609-Sty	arrayexpress:E-MEXP-2463	AE-MEXP_2463-STY1_170707_9609-Sty	STY1_170707_9609
pgxcs-kftwxdtc	pgxcs::E-MEXP-2463::AE-MEXP_2463-STY1_170707_9613-Sty	arrayexpress:E-MEXP-2463	AE-MEXP_2463-STY1_170707_9613-Sty	STY1_170707_9613
pgxcs-kftwxdua	pgxcs::E-MEXP-2463::AE-MEXP_2463-STY1_170707_15128-Sty	arrayexpress:E-MEXP-2463	AE-MEXP_2463-STY1_170707_15128-Sty	STY1_170707_15128
pgxcs-kftwxdv8	pgxcs::E-MEXP-2463::AE-MEXP_2463-STY1_170707_15265-Sty	arrayexpress:E-MEXP-2463	AE-MEXP_2463-STY1_170707_15265-Sty	STY1_170707_15265
pgxcs-kftwxdw7	pgxcs::E-MEXP-2463::AE-MEXP_2463-STY1_170707_15280-Sty	arrayexpress:E-MEXP-2463	AE-MEXP_2463-STY1_170707_15280-Sty	STY1_170707_15280
pgxcs-kftwxdzf	pgxcs::E-MEXP-2463::AE-MEXP_2463-STY1_170707_15299-Sty	arrayexpress:E-MEXP-2463	AE-MEXP_2463-STY1_170707_15299-Sty	STY1_170707_15299
pgxcs-kftwxe0f	pgxcs::E-MEXP-2463::AE-MEXP_2463-STY1_220807_15263-Sty	arrayexpress:E-MEXP-2463	AE-MEXP_2463-STY1_220807_15263-Sty	STY1_220807_15263
pgxcs-kftwxe1e	pgxcs::E-MEXP-2463::AE-MEXP_2463-STY1_220807_15332-Sty	arrayexpress:E-MEXP-2463	AE-MEXP_2463-STY1_220807_15332-Sty	STY1_220807_15332
pgxcs-kftwxe2c	pgxcs::E-MEXP-3248::AE-MEXP_3248-Case_33-Sty	arrayexpress:E-MEXP-3248	AE-MEXP_3248-Case_33-Sty	Case_33
pgxcs-kftwxe3b	pgxcs::E-MEXP-3248::AE-MEXP_3248-Case_54-Sty	arrayexpress:E-MEXP-3248	AE-MEXP_3248-Case_54-Sty	Case_54
pgxcs-kftwxe49	pgxcs::E-MEXP-3248::AE-MEXP_3248-Case_20-Sty	arrayexpress:E-MEXP-3248	AE-MEXP_3248-Case_20-Sty	Case_20
pgxcs-kftwxe58	pgxcs::E-MEXP-3248::AE-MEXP_3248-Case_13-Sty	arrayexpress:E-MEXP-3248	AE-MEXP_3248-Case_13-Sty	Case_13
pgxcs-kftwxe66	pgxcs::E-MEXP-3248::AE-MEXP_3248-Case_18-Sty	arrayexpress:E-MEXP-3248	AE-MEXP_3248-Case_18-Sty	Case_18
pgxcs-kftwxe75	pgxcs::E-MEXP-3248::AE-MEXP_3248-Case_4-Sty	arrayexpress:E-MEXP-3248	AE-MEXP_3248-Case_4-Sty	Case_4
pgxcs-kftwxe84	pgxcs::E-MEXP-3248::AE-MEXP_3248-Case_60-Sty	arrayexpress:E-MEXP-3248	AE-MEXP_3248-Case_60-Sty	Case_60
pgxcs-kftwxe92	pgxcs::E-MEXP-3248::AE-MEXP_3248-Case_61-Sty	arrayexpress:E-MEXP-3248	AE-MEXP_3248-Case_61-Sty	Case_61
pgxcs-kftwxea0	pgxcs::E-MEXP-3248::AE-MEXP_3248-Case_62-Sty	arrayexpress:E-MEXP-3248	AE-MEXP_3248-Case_62-Sty	Case_62
pgxcs-kftwxeaz	pgxcs::E-MEXP-3248::AE-MEXP_3248-Case_19-Sty	arrayexpress:E-MEXP-3248	AE-MEXP_3248-Case_19-Sty	Case_19
pgxcs-kftwxebx	pgxcs::E-MEXP-3248::AE-MEXP_3248-Case_3-Sty	arrayexpress:E-MEXP-3248	AE-MEXP_3248-Case_3-Sty	Case_3
pgxcs-kftwxecw	pgxcs::E-MEXP-3248::AE-MEXP_3248-Case_1-Sty	arrayexpress:E-MEXP-3248	AE-MEXP_3248-Case_1-Sty	Case_1
pgxcs-kftwxedw	pgxcs::E-MEXP-3248::AE-MEXP_3248-Case_42-Sty	arrayexpress:E-MEXP-3248	AE-MEXP_3248-Case_42-Sty	Case_42
pgxcs-kftwxeev	pgxcs::E-MEXP-3248::AE-MEXP_3248-Case_5-Sty	arrayexpress:E-MEXP-3248	AE-MEXP_3248-Case_5-Sty	Case_5
pgxcs-kftwxefu	pgxcs::E-MEXP-3248::AE-MEXP_3248-Case_55-Sty	arrayexpress:E-MEXP-3248	AE-MEXP_3248-Case_55-Sty	Case_55
pgxcs-kftwxegs	pgxcs::E-MEXP-3248::AE-MEXP_3248-Case_56-Sty	arrayexpress:E-MEXP-3248	AE-MEXP_3248-Case_56-Sty	Case_56
pgxcs-kftwxehq	pgxcs::E-MEXP-3248::AE-MEXP_3248-Case_57-Sty	arrayexpress:E-MEXP-3248	AE-MEXP_3248-Case_57-Sty	Case_57
pgxcs-kftwxeip	pgxcs::E-MEXP-3248::AE-MEXP_3248-Case_7-Sty	arrayexpress:E-MEXP-3248	AE-MEXP_3248-Case_7-Sty	Case_7
pgxcs-kftwxejo	pgxcs::E-MEXP-3248::AE-MEXP_3248-Case_77-Sty	arrayexpress:E-MEXP-3248	AE-MEXP_3248-Case_77-Sty	Case_77
pgxcs-kftwxekm	pgxcs::E-MEXP-3248::AE-MEXP_3248-Case_78-Sty	arrayexpress:E-MEXP-3248	AE-MEXP_3248-Case_78-Sty	Case_78
pgxcs-kftwxelk	pgxcs::E-MEXP-3248::AE-MEXP_3248-Case_10-Sty	arrayexpress:E-MEXP-3248	AE-MEXP_3248-Case_10-Sty	Case_10
pgxcs-kftwxemj	pgxcs::E-MEXP-3248::AE-MEXP_3248-Case_15-Sty	arrayexpress:E-MEXP-3248	AE-MEXP_3248-Case_15-Sty	Case_15
pgxcs-kftwxeni	pgxcs::E-MEXP-3248::AE-MEXP_3248-Case_16-Sty	arrayexpress:E-MEXP-3248	AE-MEXP_3248-Case_16-Sty	Case_16
pgxcs-kftwxeog	pgxcs::E-MEXP-3248::AE-MEXP_3248-Case_22-Sty	arrayexpress:E-MEXP-3248	AE-MEXP_3248-Case_22-Sty	Case_22
pgxcs-kftwxepf	pgxcs::E-MEXP-3248::AE-MEXP_3248-Case_37-Sty	arrayexpress:E-MEXP-3248	AE-MEXP_3248-Case_37-Sty	Case_37
pgxcs-kftwxeqe	pgxcs::E-MEXP-3248::AE-MEXP_3248-Case_8-Sty	arrayexpress:E-MEXP-3248	AE-MEXP_3248-Case_8-Sty	Case_8
pgxcs-kftwxerd	pgxcs::E-MEXP-3248::AE-MEXP_3248-Case_12-Sty	arrayexpress:E-MEXP-3248	AE-MEXP_3248-Case_12-Sty	Case_12
pgxcs-kftwxesb	pgxcs::E-MEXP-3252::AE-MEXP_3252-PR_2-SNP6	arrayexpress:E-MEXP-3252	AE-MEXP_3252-PR_2-SNP6	PR_2
pgxcs-kftwxet9	pgxcs::E-MEXP-3252::AE-MEXP_3252-PR_3-SNP6	arrayexpress:E-MEXP-3252	AE-MEXP_3252-PR_3-SNP6	PR_3
pgxcs-kftwxeu8	pgxcs::E-MEXP-3252::AE-MEXP_3252-PR_4-SNP6	arrayexpress:E-MEXP-3252	AE-MEXP_3252-PR_4-SNP6	PR_4
pgxcs-kftwxev7	pgxcs::E-MEXP-3252::AE-MEXP_3252-PR_5-SNP6	arrayexpress:E-MEXP-3252	AE-MEXP_3252-PR_5-SNP6	PR_5
pgxcs-kftwxew6	pgxcs::E-MEXP-3252::AE-MEXP_3252-PR_6-SNP6	arrayexpress:E-MEXP-3252	AE-MEXP_3252-PR_6-SNP6	PR_6
pgxcs-kftwxex4	pgxcs::E-MEXP-3252::AE-MEXP_3252-PR_7-SNP6	arrayexpress:E-MEXP-3252	AE-MEXP_3252-PR_7-SNP6	PR_7
pgxcs-kftwxey3	pgxcs::E-MEXP-3252::AE-MEXP_3252-PR_8-SNP6	arrayexpress:E-MEXP-3252	AE-MEXP_3252-PR_8-SNP6	PR_8
pgxcs-kftwxez2	pgxcs::E-MEXP-3252::AE-MEXP_3252-RI_1-SNP6	arrayexpress:E-MEXP-3252	AE-MEXP_3252-RI_1-SNP6	RI_1
pgxcs-kftwxf01	pgxcs::E-MEXP-3252::AE-MEXP_3252-RI_12-SNP6	arrayexpress:E-MEXP-3252	AE-MEXP_3252-RI_12-SNP6	RI_12
pgxcs-kftwxf10	pgxcs::E-MEXP-3252::AE-MEXP_3252-RI_13-SNP6	arrayexpress:E-MEXP-3252	AE-MEXP_3252-RI_13-SNP6	RI_13
pgxcs-kftwxf1z	pgxcs::E-MEXP-3252::AE-MEXP_3252-RI_14-SNP6	arrayexpress:E-MEXP-3252	AE-MEXP_3252-RI_14-SNP6	RI_14
